name,time,nodeid,value
test,1503460778114819072,222,"235,light,72.87,151,temperature,26.05,humidity,49.06,"
test,1503460778115019008,222,"235,from,10,44,rssi,28,msg,id,255,l,73.27,t,25.30,h,48.57,"
test,1503460778115109888,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.03,t,26.61,h,49.48,"
test,1503460778115186944,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.03,t,26.59,h,49.51,"
test,1503460778115259904,222,"235,light,72.87,150,tempe"
test,1503460778226157056,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.85,t,26.83,h,48.48,"
test,1503460778608734976,222,"235,from,10,44,rssi,28,msg,id,255,l,74.90,t,25.55,h,47.86,"
test,1503460779197321984,222,"235,light,74.90,150,temperature,26.18,humidity,48.64,"
test,1503460779197427968,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.85,t,26.83,h,48.57,"
test,1503460779930587136,222,"235,from,10,44,rssi,27,msg,id,255,l,74.49,t,25.55,h,47.83,"
test,1503460780488537088,222,"235,light,73.27,152,temperature,26.16,humidity,48.61,"
test,1503460780584039936,222,"235,from,10,44,rssi,-5,msg,id,205,l,48.85,t,26.84,h,48.67,"
test,1503460781237660928,222,"235,from,10,44,rssi,28,msg,id,255,l,74.09,t,25.56,h,47.86,"
test,1503460781412931072,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.03,t,26.83,h,48.70,"
test,1503460781795378944,222,"235,light,73.68,150,temperature,26.16,humidity,48.61,"
test,1503460782162061056,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.03,t,26.84,h,48.64,"
test,1503460782544686080,222,"235,from,10,44,rssi,27,msg,id,255,l,73.68,t,25.56,h,47.86,"
test,1503460783086635008,222,"235,light,72.87,152,temperature,26.16,humidity,48.64,"
test,1503460783102381824,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.03,t,26.84,h,48.64,"
test,1503460783803822080,222,"235,from,10,44,rssi,-10,msg,id,205,l,47.63,t,26.83,h,48.61,"
test,1503460783851612928,222,"235,from,10,44,rssi,27,msg,id,255,l,74.49,t,25.55,h,47.86,"
test,1503460784393737984,222,"235,light,74.49,149,temperature,26.16,humidity,48.64,"
test,1503460785174653952,222,"235,from,10,44,rssi,27,msg,id,255,l,74.49,t,25.56,h,47.86,"
test,1503460785318091008,222,"235,from,10,44,rssi,-8,msg,id,205,l,48.85,t,26.83,h,48.54,"
test,1503460785700421120,222,"235,light,72.87,151,temperature,26.18,humidity,48.64,"
test,1503460786481682944,222,"235,from,10,44,rssi,28,msg,id,255,l,74.90,t,25.58,h,47.83,"
test,1503460786991866112,222,"235,light,75.31,153,temperature,26.16,humidity,48.64,"
test,1503460787007610112,222,"235,from,10,44,rssi,-9,msg,id,205,l,48.44,t,26.83,h,48.54,"
test,1503460788298564864,222,"235,light,72.87,152,temperature,26.18,humidity,48.64,"
test,1503460788474073856,222,"235,from,10,44,rssi,-9,msg,id,205,l,48.44,t,26.84,h,48.51,"
test,1503460789111616000,222,"235,from,10,44,rssi,27,msg,id,255,l,74.90,t,25.61,h,47.86,"
test,1503460789286900992,222,"235,from,10,44,rssi,-9,msg,id,205,l,47.63,t,26.84,h,48.51,"
test,1503460789605716992,222,"235,light,74.09,152,temperature,26.18,humidity,48.64,"
test,1503460790450444032,222,"235,from,10,44,rssi,27,msg,id,255,l,75.31,t,25.58,h,47.86,"
test,1503460790912900864,222,"235,light,72.46,151,temperature,26.18,humidity,48.64,"
test,1503460790928790016,222,"235,from,10,44,rssi,-10,msg,id,205,l,48.44,t,26.83,h,48.48,"
test,1503460791630084096,222,"235,from,10,44,rssi,-10,msg,id,205,l,48.85,t,26.83,h,48.51,"
test,1503460791725667072,222,"235,from,10,44,rssi,28,msg,id,255,l,73.68,t,25.58,h,47.83,"
test,1503460792219852800,222,"235,light,75.31,151,temperature,26.19,humidity,48.61,"
test,1503460792442913024,222,"235,from,10,44,rssi,-11,msg,id,205,l,48.85,t,26.84,h,48.51,"
test,1503460793048683776,222,"235,from,10,44,rssi,28,msg,id,255,l,74.49,t,25.59,h,47.79,"
test,1503460793541809152,222,"235,light,73.27,152,temperature,26.19,humidity,48.64,"
test,1503460793541915904,222,"235,from,10,44,rssi,-10,msg,id,205,l,48.44,t,26.86,h,48.54,"
test,1503460794036012032,222,"235,from,10,44,rssi,-10,msg,id,205,l,48.85,t,26.86,h,48.54,"
test,1503460794370551040,222,"235,from,10,44,rssi,27,msg,id,255,l,74.90,t,25.59,h,47.79,"
test,1503460794847843840,222,"235,light,74.49,151,temperature,26.18,humidity,48.64,"
test,1503460794847964160,222,"235,from,10,44,rssi,-10,msg,id,205,l,48.44,t,26.86,h,48.51,"
test,1503460795581049856,222,"235,from,10,44,rssi,-11,msg,id,205,l,48.85,t,26.86,h,48.51,"
test,1503460795692677888,222,"235,from,10,44,rssi,28,msg,id,255,l,73.68,t,25.58,h,47.79,"
test,1503460796138910976,222,"235,light,73.68,153,temperature,26.19,humidity,48.64,"
test,1503460796393938176,222,"235,from,10,44,rssi,-10,msg,id,205,l,48.85,t,26.86,h,48.51,"
test,1503460796983758080,222,"235,from,10,44,rssi,28,msg,id,255,l,74.49,t,25.58,h,47.79,"
test,1503460797429837824,222,"235,light,75.31,152,temperature,26.18,humidity,48.64,"
