name,time,nodeid,value
test,1503460917729712896,111,"255,light,74.09,161,temperature,25.58,humidity,47.76,"
test,1503460917729859072,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.18,h,48.57,"
test,1503460918047215104,111,"255,from,10,44,rssi,-5,msg,id,205,l,48.85,t,26.90,h,48.44,"
test,1503460918047343104,111,"255,from,10,44,rssi,28,msg,id,211,l,77.75,t,25.45,h,50.22,"
test,1503460919018043904,111,"255,light,74.90,161,temperature,25.58,humidity,47.73,"
test,1503460919047804160,111,"255,from,10,44,rssi,29,msg,id,235,l,72.46,t,26.18,h,48.57,"
test,1503460919047951872,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.03,t,26.90,h,48.44,"
test,1503460920337184000,111,"255,light,74.49,158,temperature,25.56,humidity,47.76,"
test,1503460920353065984,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.16,h,48.54,"
test,1503460921148866048,111,"255,from,10,44,rssi,-2,msg,id,205,l,49.25,t,26.91,h,48.44,"
test,1503460921642118912,111,"255,light,74.09,158,temperature,25.55,humidity,47.76,"
test,1503460921960634880,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.88,h,48.44,"
test,1503460922660978944,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.16,h,48.57,"
test,1503460922963215104,111,"255,light,74.09,155,temperature,25.56,humidity,47.79,"
test,1503460922979196160,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.87,h,48.44,"
test,1503460923520376832,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.91,h,48.44,"
test,1503460923950071040,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.16,h,48.57,"
test,1503460924284487936,111,"255,light,73.68,159,temperature,25.56,humidity,47.79,"
test,1503460924332072960,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.91,h,48.41,"
test,1503460925095987968,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.90,h,48.38,"
test,1503460925271094016,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.16,h,48.61,"
test,1503460925589283840,111,"255,light,75.72,161,temperature,25.56,humidity,47.73,"
test,1503460925891745024,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.87,h,48.38,"
test,1503460926560324864,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.16,h,48.61,"
test,1503460926925299968,111,"255,light,74.90,159,temperature,25.56,humidity,47.76,"
test,1503460926925427968,111,"255,from,10,44,rssi,-4,msg,id,205,l,47.63,t,26.88,h,48.38,"
test,1503460927482368000,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.90,h,48.38,"
test,1503460927880408064,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.19,h,48.61,"
test,1503460928214647040,111,"255,light,74.09,158,temperature,25.58,humidity,47.76,"
test,1503460928278192896,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.90,h,48.38,"
test,1503460929058182912,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.91,h,48.35,"
test,1503460929535571200,111,"255,light,73.68,158,temperature,25.58,humidity,47.76,"
test,1503460930490680832,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.19,h,48.61,"
test,1503460930840708096,111,"255,light,74.90,161,temperature,25.58,humidity,47.76,"
test,1503460931795724032,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.19,h,48.61,"
test,1503460932145899008,111,"255,light,74.90,159,temperature,25.59,humidity,47.76,"
test,1503460932209575936,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.03,t,26.91,h,48.31,"
test,1503460933021390848,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.90,h,48.31,"
test,1503460933100922112,111,"255,from,10,44,rssi,29,msg,id,235,l,72.87,t,26.19,h,48.57,"
test,1503460933466949888,111,"255,light,74.49,159,temperature,25.59,humidity,47.73,"
test,1503460934406070016,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.20,h,48.57,"
test,1503460934772049920,111,"255,light,74.09,159,temperature,25.59,humidity,47.73,"
test,1503460934788045824,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.03,t,26.91,h,48.38,"
test,1503460935360944896,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.38,"
test,1503460935695235840,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.22,h,48.57,"
test,1503460936093105920,111,"255,light,75.31,158,temperature,25.61,humidity,47.76,"
test,1503460936204402944,111,"255,from,10,44,rssi,0,msg,id,205,l,49.25,t,26.91,h,48.44,"
test,1503460936952631040,111,"255,from,10,44,rssi,-2,msg,id,205,l,49.66,t,26.91,h,48.44,"
test,1503460937016311808,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.22,h,48.54,"
test,1503460937398284032,111,"255,light,74.90,162,temperature,25.59,humidity,47.73,"
test,1503460938305624064,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.23,h,48.54,"
test,1503460938719389952,111,"255,light,73.68,157,temperature,25.62,humidity,47.73,"
test,1503460938735184896,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.44,"
test,1503460939340084992,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.91,h,48.51,"
test,1503460939626569984,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.23,h,48.51,"
test,1503460940024425984,111,"255,light,74.90,160,temperature,25.62,humidity,47.73,"
test,1503460940119894016,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.51,"
test,1503460940915672064,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.23,h,48.54,"
test,1503460941345448960,111,"255,light,75.31,158,temperature,25.62,humidity,47.73,"
test,1503460941679747072,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.94,h,48.51,"
test,1503460942220916992,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.23,h,48.54,"
test,1503460942650512896,111,"255,light,74.49,156,temperature,25.63,humidity,47.70,"
test,1503460942666579968,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.03,t,26.93,h,48.48,"
test,1503460943255363840,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.03,t,26.93,h,48.41,"
test,1503460943526017792,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.23,h,48.51,"
test,1503460943971590912,111,"255,light,73.68,156,temperature,25.62,humidity,47.66,"
test,1503460944035293952,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.93,h,48.35,"
test,1503460944831116800,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.26,h,48.51,"
test,1503460944878789888,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.91,h,48.35,"
test,1503460945276717056,111,"255,light,74.49,160,temperature,25.62,humidity,47.66,"
test,1503460945626923008,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.91,h,48.31,"
test,1503460946120325120,111,"255,from,10,44,rssi,29,msg,id,235,l,72.46,t,26.26,h,48.51,"
test,1503460946581934080,111,"255,light,74.90,159,temperature,25.62,humidity,47.66,"
test,1503460946597742080,111,"255,from,10,44,rssi,-1,msg,id,205,l,49.25,t,26.91,h,48.31,"
test,1503460947250371072,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.44,t,26.91,h,48.31,"
test,1503460947457254912,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.26,h,48.48,"
test,1503460947902893056,111,"255,light,75.72,156,temperature,25.63,humidity,47.66,"
test,1503460947998394112,111,"255,from,10,44,rssi,-4,msg,id,205,l,48.44,t,26.91,h,48.31,"
test,1503460948746361088,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.26,h,48.44,"
test,1503460949207952896,111,"255,light,74.09,160,temperature,25.62,humidity,47.66,"
test,1503460949574127872,111,"255,from,10,44,rssi,-4,msg,id,205,l,48.44,t,26.91,h,48.38,"
test,1503460950035782144,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.26,h,48.44,"
test,1503460950542978048,111,"255,light,74.49,162,temperature,25.62,humidity,47.66,"
test,1503460950543080960,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.93,h,48.38,"
test,1503460951147877888,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.93,h,48.38,"
test,1503460951338764032,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.26,h,48.41,"
test,1503460951848174080,111,"255,light,75.31,162,temperature,25.65,humidity,47.63,"
test,1503460951959510016,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.94,h,48.31,"
test,1503460952643978240,111,"255,from,10,44,rssi,29,msg,id,235,l,75.31,t,26.26,h,48.41,"
test,1503460952818900992,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.94,h,48.25,"
test,1503460953153155072,111,"255,light,73.68,158,temperature,25.65,humidity,47.66,"
test,1503460953521501184,111,"255,from,10,44,rssi,-1,msg,id,205,l,47.22,t,26.94,h,48.25,"
test,1503460953948914944,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.41,"
test,1503460954458409984,111,"255,light,73.68,159,temperature,25.66,humidity,47.63,"
test,1503460954474307072,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.93,h,48.25,"
test,1503460955095001088,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.94,h,48.22,"
test,1503460955254151936,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.26,h,48.41,"
test,1503460955779373056,111,"255,light,74.49,161,temperature,25.66,humidity,47.60,"
test,1503460955906747136,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.94,h,48.18,"
test,1503460956559257088,111,"255,from,10,44,rssi,29,msg,id,235,l,72.87,t,26.25,h,48.41,"
test,1503460956702539008,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.93,h,48.25,"
test,1503460957084395776,111,"255,light,74.90,160,temperature,25.66,humidity,47.60,"
test,1503460957546041856,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.94,h,48.28,"
test,1503460957864360960,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.25,h,48.38,"
test,1503460958405609984,111,"255,light,74.09,157,temperature,25.68,humidity,47.57,"
test,1503460959185526016,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.38,"
test,1503460959710697984,111,"255,light,73.27,161,temperature,25.68,humidity,47.53,"
test,1503460959885737984,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.94,h,48.31,"
test,1503460961031788032,111,"255,light,74.49,160,temperature,25.69,humidity,47.53,"
test,1503460961429584896,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.94,h,48.31,"
test,1503460961779720192,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.38,"
test,1503460962336857088,111,"255,light,75.31,159,temperature,25.70,humidity,47.53,"
test,1503460963021190912,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.44,t,26.93,h,48.31,"
